subject,item,condition,group,frequency_z,length,trial,RT,accuracy,neighbourhood,neighbourhood_z
S01,W077,unrelated,control,-1.3756874142011304,6,69,435,1,7,-1.6591319671325866
S01,W078,related,control,-1.493333612226836,10,115,574,1,8,-1.328407986973267
S01,W079,unrelated,control,0.1139469950564595,6,57,479,0,10,-0.666960026654628
S01,W080,related,control,0.4102184004835469,4,46,331,1,14,0.6559358939826502
S01,W081,unrelated,control,1.1191925348290213,6,7,350,1,17,1.6481078344606088
S01,W082,related,control,-0.0322703529262462,6,52,398,1,11,-0.33623604649530847
S01,W083,unrelated,control,0.1654914468887871,7,110,644,1,14,0.6559358939826502
S01,W084,related,control,0.8719147743400757,7,95,459,1,12,-0.005512066335988933
S01,W085,unrelated,control,-0.8790583874314196,7,72,430,1,13,0.3252119138233306
S01,W086,related,control,-0.7905740078936522,7,11,448,1,8,-1.328407986973267
S01,W087,unrelated,control,0.5846936512450975,6,102,285,1,12,-0.005512066335988933
S01,W088,related,control,-0.8247875085796271,5,109,374,1,9,-0.9976840068139475
S01,W089,unrelated,control,-1.4798537261722209,8,9,628,0,10,-0.666960026654628
S01,W090,related,control,-0.5298687768050517,7,85,510,1,10,-0.666960026654628
S01,W091,unrelated,control,0.0199958773569514,6,30,486,0,13,0.3252119138233306
S01,W092,related,control,0.8827875457824161,5,21,607,1,16,1.3173838543012892
S01,W093,unrelated,control,-0.3951162220036792,6,87,403,1,11,-0.33623604649530847
S01,W094,related,control,-0.2729766410664055,6,41,494,1,14,0.6559358939826502
S01,W095,unrelated,control,-0.8951685051880719,8,86,627,1,9,-0.9976840068139475
S01,W096,related,control,-0.4092407736087192,8,54,831,1,11,-0.33623604649530847
S01,W097,unrelated,control,-0.0617302306989816,5,101,518,1,13,0.3252119138233306
S01,W098,related,control,-0.148276360874164,7,31,453,1,12,-0.005512066335988933
S01,W099,unrelated,control,-0.5593352549066585,6,79,499,1,11,-0.33623604649530847
S01,W100,related,control,0.942231995983134,6,65,484,1,14,0.6559358939826502
S01,W101,unrelated,control,-0.4764940879555429,6,64,634,1,11,-0.33623604649530847
S01,W102,related,control,0.2909020541309749,6,36,451,1,12,-0.005512066335988933
S01,W103,unrelated,control,-0.5886379098238127,8,66,633,0,9,-0.9976840068139475
S01,W104,related,control,-0.1214698405936154,5,43,407,1,11,-0.33623604649530847
S01,W105,unrelated,control,0.9039757269248688,7,77,472,1,16,1.3173838543012892
S01,W106,related,control,0.9500663306709668,5,20,540,1,14,0.6559358939826502
S01,W107,unrelated,control,-0.1048038833831658,7,91,504,1,14,0.6559358939826502
S01,W108,related,control,1.0859079831560388,6,29,495,1,17,1.6481078344606088
S01,W109,unrelated,control,1.4716210444039308,4,67,438,1,16,1.3173838543012892
S01,W110,related,control,-0.6985479929330615,5,15,745,1,12,-0.005512066335988933
S01,W111,unrelated,control,0.0810520811925241,6,63,740,1,12,-0.005512066335988933
S01,W112,related,control,-0.9707136954003068,6,78,426,1,12,-0.005512066335988933
S01,W113,unrelated,control,0.3016402314525866,7,14,452,1,12,-0.005512066335988933
S01,W114,related,control,0.2964810364202688,6,49,508,1,13,0.3252119138233306
S01,W115,unrelated,control,0.9454197977241208,5,89,429,1,14,0.6559358939826502
S01,W116,related,control,0.5722667365127202,5,105,393,1,13,0.3252119138233306
S01,W117,unrelated,control,-0.3562583501967622,6,22,759,1,12,-0.005512066335988933
S01,W118,related,control,0.9249426975480984,4,13,357,1,14,0.6559358939826502
S01,W119,unrelated,control,-0.2589413440745218,7,5,543,0,12,-0.005512066335988933
S01,W120,related,control,-1.6613676983867645,7,2,474,1,7,-1.6591319671325866
S02,W001,related,control,-0.9139392237197596,6,117,626,1,8,-1.328407986973267
S02,W002,unrelated,control,0.1358238092024783,6,85,662,1,15,0.9866598741419697
S02,W003,related,control,0.0968317689390009,5,100,915,1,13,0.3252119138233306
S02,W004,unrelated,control,-1.3047661789528002,8,50,1012,0,8,-1.328407986973267
S02,W005,related,control,0.4824205120703297,7,44,867,1,15,0.9866598741419697
S02,W006,unrelated,control,1.5453446713553585,5,70,973,1,18,1.9788318146199282
S02,W007,related,control,-0.6150774716989514,7,68,941,1,8,-1.328407986973267
S02,W008,unrelated,control,0.7371741115453434,5,114,991,1,14,0.6559358939826502
S02,W009,related,control,0.4367971257492582,5,101,641,1,16,1.3173838543012892
S02,W010,unrelated,control,0.5628372917200654,4,102,653,1,15,0.9866598741419697
S02,W011,related,control,0.0928637611052042,5,9,974,1,16,1.3173838543012892
S02,W012,unrelated,control,-1.017174296547943,7,91,1044,1,5,-2.3205799274512255
S02,W013,related,control,-0.1757199187168372,5,116,753,1,13,0.3252119138233306
S02,W014,unrelated,control,-0.4670875917863192,7,29,881,1,10,-0.666960026654628
S02,W015,related,control,0.6376366034140181,4,59,1249,1,13,0.3252119138233306
S02,W016,unrelated,control,0.4758777000006875,6,62,669,1,15,0.9866598741419697
S02,W017,related,control,-1.1004086247447586,7,27,1117,1,10,-0.666960026654628
S02,W018,unrelated,control,-0.0732480440826994,5,67,707,1,11,-0.33623604649530847
S02,W019,related,control,0.8377763169382735,5,113,1221,1,17,1.6481078344606088
S02,W020,unrelated,control,-0.10953246691453,6,109,622,1,13,0.3252119138233306
S02,W021,related,control,0.1653741913649934,6,92,849,1,11,-0.33623604649530847
S02,W022,unrelated,control,-1.5613246312784643,7,31,1137,1,7,-1.6591319671325866
S02,W023,related,control,1.5516882128257177,4,83,769,1,18,1.9788318146199282
S02,W024,unrelated,control,0.6676736601563552,6,10,1172,1,15,0.9866598741419697
S02,W025,related,control,-1.1003524346233824,6,111,926,1,9,-0.9976840068139475
S02,W026,unrelated,control,1.2547311434192785,5,14,998,1,15,0.9866598741419697
S02,W027,related,control,0.2511535240099482,6,66,1081,1,11,-0.33623604649530847
S02,W028,unrelated,control,-0.4744448584528069,6,8,982,1,10,-0.666960026654628
S02,W029,related,control,-0.034955592045138,6,51,887,1,11,-0.33623604649530847
S02,W030,unrelated,control,-1.2168271291729122,6,69,726,1,9,-0.9976840068139475
S02,W031,related,control,0.714619446660419,5,99,1109,1,14,0.6559358939826502
S02,W032,unrelated,control,-1.3165830605078477,6,39,933,1,10,-0.666960026654628
S02,W033,related,control,-0.21523491523936,7,42,702,1,12,-0.005512066335988933
S02,W034,unrelated,control,-0.8773992307693209,5,120,703,1,10,-0.666960026654628
S02,W035,related,control,-0.5296422482991268,8,49,939,1,11,-0.33623604649530847
S02,W036,unrelated,control,-0.1884520533183292,7,2,617,1,13,0.3252119138233306
S02,W037,related,control,-1.1890454200315383,10,52,1094,1,9,-0.9976840068139475
S02,W038,unrelated,control,0.956289262928874,5,89,756,1,16,1.3173838543012892
S02,W039,related,control,-1.409803501846958,9,103,855,1,9,-0.9976840068139475
S02,W040,unrelated,control,0.0326171911239126,7,71,828,1,14,0.6559358939826502
S02,W041,related,control,2.768124509357714,4,48,487,1,19,2.3095557947792478
S02,W042,unrelated,control,-2.051321246725728,8,81,1056,1,7,-1.6591319671325866
S02,W043,related,control,-0.4642735130186097,7,53,752,1,12,-0.005512066335988933
S02,W044,unrelated,control,-0.074692481078299,5,74,1049,1,11,-0.33623604649530847
S02,W045,related,control,-2.8603180515178988,8,86,1096,1,2,-3.312751867929184
S02,W046,unrelated,control,0.2765126725847232,6,64,818,1,13,0.3252119138233306
S02,W047,related,control,0.0194756794538221,6,46,911,1,11,-0.33623604649530847
S02,W048,unrelated,control,0.9901168140194688,6,35,636,0,13,0.3252119138233306
S02,W049,related,control,1.4263582067643383,5,18,666,1,18,1.9788318146199282
S02,W050,unrelated,control,0.2830487228263371,5,115,567,1,16,1.3173838543012892
S02,W051,related,control,0.2912642538060146,5,60,822,1,11,-0.33623604649530847
S02,W052,unrelated,control,0.2221144455622858,6,93,744,1,14,0.6559358939826502
S02,W053,related,control,1.5099166560295276,5,98,820,1,13,0.3252119138233306
S02,W054,unrelated,control,-0.4557117009268119,7,3,985,0,10,-0.666960026654628
S02,W055,related,control,-0.8565905568902926,6,75,1108,1,11,-0.33623604649530847
S02,W056,unrelated,control,-1.5572563778362285,6,6,1177,1,8,-1.328407986973267
S02,W057,related,control,-0.9059093384605884,8,37,791,1,9,-0.9976840068139475
S02,W058,unrelated,control,-1.6486942190789142,6,107,649,1,9,-0.9976840068139475
S02,W059,related,control,-0.3001634484294758,6,84,663,1,12,-0.005512066335988933
S02,W060,unrelated,control,-0.4724816193194414,5,77,638,1,12,-0.005512066335988933
S02,W061,related,control,1.7395844656453046,5,26,892,1,19,2.3095557947792478
S02,W062,unrelated,control,1.148113333746188,7,80,801,1,15,0.9866598741419697
S02,W063,related,control,0.0350906934612753,6,20,675,1,15,0.9866598741419697
S02,W064,unrelated,control,1.1068512013196057,4,47,786,1,14,0.6559358939826502
S02,W065,related,control,-0.29377833954959,5,7,554,1,11,-0.33623604649530847
S02,W066,unrelated,control,-0.8621267483079921,6,45,911,1,11,-0.33623604649530847
S02,W067,related,control,-0.8004905870752745,5,22,1072,1,9,-0.9976840068139475
S02,W068,unrelated,control,-0.6822716459168946,6,4,753,1,11,-0.33623604649530847
S02,W069,related,control,-2.306145484861042,8,21,1188,1,6,-1.9898559472919062
S02,W070,unrelated,control,-0.4692453518743268,6,38,950,1,10,-0.666960026654628
S02,W071,related,control,-0.7186668647491127,7,5,763,1,13,0.3252119138233306
S02,W072,unrelated,control,-1.8666945779672184,6,33,1219,1,8,-1.328407986973267
S02,W073,related,control,0.891632901440497,6,95,835,1,15,0.9866598741419697
S02,W074,unrelated,control,0.0035851005184451,7,30,906,1,13,0.3252119138233306
S02,W075,related,control,-0.8296935917886239,8,88,827,1,11,-0.33623604649530847
S02,W076,unrelated,control,0.0063453267125901,6,94,846,0,11,-0.33623604649530847
S02,W077,related,control,-1.3756874142011304,6,17,618,1,7,-1.6591319671325866
S02,W078,unrelated,control,-1.493333612226836,10,34,890,1,8,-1.328407986973267
S02,W079,related,control,0.1139469950564595,6,40,969,1,10,-0.666960026654628
S02,W080,unrelated,control,0.4102184004835469,4,110,446,1,14,0.6559358939826502
S02,W081,related,control,1.1191925348290213,6,76,656,1,17,1.6481078344606088
S02,W082,unrelated,control,-0.0322703529262462,6,97,575,1,11,-0.33623604649530847
S02,W083,related,control,0.1654914468887871,7,61,1279,1,14,0.6559358939826502
S02,W084,unrelated,control,0.8719147743400757,7,90,744,1,12,-0.005512066335988933
S02,W085,related,control,-0.8790583874314196,7,104,628,1,13,0.3252119138233306
S02,W086,unrelated,control,-0.7905740078936522,7,56,843,1,8,-1.328407986973267
S02,W087,related,control,0.5846936512450975,6,28,590,1,12,-0.005512066335988933
S02,W088,unrelated,control,-0.8247875085796271,5,13,678,1,9,-0.9976840068139475
S02,W089,related,control,-1.4798537261722209,8,96,859,0,10,-0.666960026654628
S02,W090,unrelated,control,-0.5298687768050517,7,106,908,1,10,-0.666960026654628
S02,W091,related,control,0.0199958773569514,6,79,808,1,13,0.3252119138233306
S02,W092,unrelated,control,0.8827875457824161,5,54,590,1,16,1.3173838543012892
S02,W093,related,control,-0.3951162220036792,6,43,647,1,11,-0.33623604649530847
S02,W094,unrelated,control,-0.2729766410664055,6,55,832,1,14,0.6559358939826502
S02,W095,related,control,-0.8951685051880719,8,119,1023,1,9,-0.9976840068139475
S02,W096,unrelated,control,-0.4092407736087192,8,82,1390,1,11,-0.33623604649530847
S02,W097,related,control,-0.0617302306989816,5,72,846,1,13,0.3252119138233306
S02,W098,unrelated,control,-0.148276360874164,7,108,786,1,12,-0.005512066335988933
S02,W099,related,control,-0.5593352549066585,6,19,886,1,11,-0.33623604649530847
S02,W100,unrelated,control,0.942231995983134,6,78,787,1,14,0.6559358939826502
S02,W101,related,control,-0.4764940879555429,6,25,966,1,11,-0.33623604649530847
S02,W102,unrelated,control,0.2909020541309749,6,36,653,1,12,-0.005512066335988933
S02,W103,related,control,-0.5886379098238127,8,1,901,1,9,-0.9976840068139475
S02,W104,unrelated,control,-0.1214698405936154,5,87,623,1,11,-0.33623604649530847
S02,W105,related,control,0.9039757269248688,7,105,626,1,16,1.3173838543012892
S02,W106,unrelated,control,0.9500663306709668,5,63,836,1,14,0.6559358939826502
S02,W107,related,control,-0.1048038833831658,7,112,902,1,14,0.6559358939826502
S02,W108,unrelated,control,1.0859079831560388,6,15,554,1,17,1.6481078344606088
S02,W109,related,control,1.4716210444039308,4,41,872,1,16,1.3173838543012892
S02,W110,unrelated,control,-0.6985479929330615,5,57,958,1,12,-0.005512066335988933
S02,W111,related,control,0.0810520811925241,6,32,987,1,12,-0.005512066335988933
S02,W112,unrelated,control,-0.9707136954003068,6,73,738,1,12,-0.005512066335988933
S02,W113,related,control,0.3016402314525866,7,23,604,1,12,-0.005512066335988933
S02,W114,unrelated,control,0.2964810364202688,6,65,757,1,13,0.3252119138233306
S02,W115,related,control,0.9454197977241208,5,118,784,1,14,0.6559358939826502
S02,W116,unrelated,control,0.5722667365127202,5,16,836,1,13,0.3252119138233306
S02,W117,related,control,-0.3562583501967622,6,11,1234,1,12,-0.005512066335988933
S02,W118,unrelated,control,0.9249426975480984,4,12,641,1,14,0.6559358939826502
S02,W119,related,control,-0.2589413440745218,7,24,809,1,12,-0.005512066335988933
S02,W120,unrelated,control,-1.6613676983867645,7,58,740,1,7,-1.6591319671325866
S03,W001,unrelated,control,-0.9139392237197596,6,27,652,1,8,-1.328407986973267
S03,W002,related,control,0.1358238092024783,6,88,525,1,15,0.9866598741419697
S03,W003,unrelated,control,0.0968317689390009,5,61,824,1,13,0.3252119138233306
S03,W004,related,control,-1.3047661789528002,8,94,601,1,8,-1.328407986973267
S03,W005,unrelated,control,0.4824205120703297,7,64,681,1,15,0.9866598741419697
S03,W006,related,control,1.5453446713553585,5,114,899,1,18,1.9788318146199282
S03,W007,unrelated,control,-0.6150774716989514,7,83,976,1,8,-1.328407986973267
S03,W008,related,control,0.7371741115453434,5,77,1037,1,14,0.6559358939826502
S03,W009,unrelated,control,0.4367971257492582,5,62,469,1,16,1.3173838543012892
S03,W010,related,control,0.5628372917200654,4,89,536,1,15,0.9866598741419697
S03,W011,unrelated,control,0.0928637611052042,5,10,774,1,16,1.3173838543012892
S03,W012,related,control,-1.017174296547943,7,112,890,1,5,-2.3205799274512255
S03,W013,unrelated,control,-0.1757199187168372,5,34,674,1,13,0.3252119138233306
S03,W014,related,control,-0.4670875917863192,7,109,752,1,10,-0.666960026654628
S03,W015,unrelated,control,0.6376366034140181,4,116,963,1,13,0.3252119138233306
S03,W016,related,control,0.4758777000006875,6,30,470,1,15,0.9866598741419697
S03,W017,unrelated,control,-1.1004086247447586,7,21,1014,0,10,-0.666960026654628
S03,W018,related,control,-0.0732480440826994,5,76,573,1,11,-0.33623604649530847
S03,W019,unrelated,control,0.8377763169382735,5,6,962,1,17,1.6481078344606088
S03,W020,related,control,-0.10953246691453,6,56,462,1,13,0.3252119138233306
S03,W021,unrelated,control,0.1653741913649934,6,106,767,1,11,-0.33623604649530847
S03,W022,related,control,-1.5613246312784643,7,115,942,1,7,-1.6591319671325866
S03,W023,unrelated,control,1.5516882128257177,4,8,509,1,18,1.9788318146199282
S03,W024,related,control,0.6676736601563552,6,78,589,1,15,0.9866598741419697
S03,W025,unrelated,control,-1.1003524346233824,6,91,825,0,9,-0.9976840068139475
S03,W026,related,control,1.2547311434192785,5,57,896,1,15,0.9866598741419697
S03,W027,unrelated,control,0.2511535240099482,6,102,1013,0,11,-0.33623604649530847
S03,W028,related,control,-0.4744448584528069,6,70,777,1,10,-0.666960026654628
S03,W029,unrelated,control,-0.034955592045138,6,5,892,1,11,-0.33623604649530847
S03,W030,related,control,-1.2168271291729122,6,45,703,1,9,-0.9976840068139475
S03,W031,unrelated,control,0.714619446660419,5,60,865,1,14,0.6559358939826502
S03,W032,related,control,-1.3165830605078477,6,36,792,1,10,-0.666960026654628
S03,W033,unrelated,control,-0.21523491523936,7,15,543,1,12,-0.005512066335988933
S03,W034,related,control,-0.8773992307693209,5,46,523,1,10,-0.666960026654628
S03,W035,unrelated,control,-0.5296422482991268,8,58,947,1,11,-0.33623604649530847
S03,W036,related,control,-0.1884520533183292,7,7,613,1,13,0.3252119138233306
S03,W037,unrelated,control,-1.1890454200315383,10,79,1065,1,9,-0.9976840068139475
S03,W038,related,control,0.956289262928874,5,32,702,1,16,1.3173838543012892
S03,W039,unrelated,control,-1.409803501846958,9,86,850,1,9,-0.9976840068139475
S03,W040,related,control,0.0326171911239126,7,59,748,1,14,0.6559358939826502
S03,W041,unrelated,control,2.768124509357714,4,108,391,1,19,2.3095557947792478
S03,W042,related,control,-2.051321246725728,8,80,709,1,7,-1.6591319671325866
S03,W043,unrelated,control,-0.4642735130186097,7,82,927,1,12,-0.005512066335988933
S03,W044,related,control,-0.074692481078299,5,110,610,1,11,-0.33623604649530847
S03,W045,unrelated,control,-2.8603180515178988,8,75,940,1,2,-3.312751867929184
S03,W046,related,control,0.2765126725847232,6,100,646,1,13,0.3252119138233306
S03,W047,unrelated,control,0.0194756794538221,6,4,934,1,11,-0.33623604649530847
S03,W048,related,control,0.9901168140194688,6,92,479,1,13,0.3252119138233306
S03,W049,unrelated,control,1.4263582067643383,5,39,721,1,18,1.9788318146199282
S03,W050,related,control,0.2830487228263371,5,47,517,1,16,1.3173838543012892
S03,W051,unrelated,control,0.2912642538060146,5,11,650,1,11,-0.33623604649530847
S03,W052,related,control,0.2221144455622858,6,53,673,1,14,0.6559358939826502
S03,W053,unrelated,control,1.5099166560295276,5,87,784,1,13,0.3252119138233306
S03,W054,related,control,-0.4557117009268119,7,101,733,1,10,-0.666960026654628
S03,W055,unrelated,control,-0.8565905568902926,6,55,1288,1,11,-0.33623604649530847
S03,W056,related,control,-1.5572563778362285,6,103,915,1,8,-1.328407986973267
S03,W057,unrelated,control,-0.9059093384605884,8,84,916,1,9,-0.9976840068139475
S03,W058,related,control,-1.6486942190789142,6,44,512,1,9,-0.9976840068139475
S03,W059,unrelated,control,-0.3001634484294758,6,69,518,1,12,-0.005512066335988933
S03,W060,related,control,-0.4724816193194414,5,14,460,1,12,-0.005512066335988933
S03,W061,unrelated,control,1.7395844656453046,5,33,610,1,19,2.3095557947792478
S03,W062,related,control,1.148113333746188,7,20,536,1,15,0.9866598741419697
S03,W063,unrelated,control,0.0350906934612753,6,54,605,1,15,0.9866598741419697
S03,W064,related,control,1.1068512013196057,4,42,595,1,14,0.6559358939826502
S03,W065,unrelated,control,-0.29377833954959,5,19,556,1,11,-0.33623604649530847
S03,W066,related,control,-0.8621267483079921,6,93,572,1,11,-0.33623604649530847
S03,W067,unrelated,control,-0.8004905870752745,5,66,958,1,9,-0.9976840068139475
S03,W068,related,control,-0.6822716459168946,6,13,641,1,11,-0.33623604649530847
S03,W069,unrelated,control,-2.306145484861042,8,31,1034,1,6,-1.9898559472919062
S03,W070,related,control,-0.4692453518743268,6,49,666,1,10,-0.666960026654628
S03,W071,unrelated,control,-0.7186668647491127,7,65,620,0,13,0.3252119138233306
S03,W072,related,control,-1.8666945779672184,6,23,948,0,8,-1.328407986973267
S03,W073,unrelated,control,0.891632901440497,6,85,786,1,15,0.9866598741419697
S03,W074,related,control,0.0035851005184451,7,118,681,1,13,0.3252119138233306
S03,W075,unrelated,control,-0.8296935917886239,8,25,806,1,11,-0.33623604649530847
S03,W076,related,control,0.0063453267125901,6,104,657,1,11,-0.33623604649530847
S03,W077,unrelated,control,-1.3756874142011304,6,72,813,1,7,-1.6591319671325866
S03,W078,related,control,-1.493333612226836,10,40,665,0,8,-1.328407986973267
S03,W079,unrelated,control,0.1139469950564595,6,98,875,1,10,-0.666960026654628
S03,W080,related,control,0.4102184004835469,4,95,415,1,14,0.6559358939826502
S03,W081,unrelated,control,1.1191925348290213,6,68,749,1,17,1.6481078344606088
S03,W082,related,control,-0.0322703529262462,6,1,595,1,11,-0.33623604649530847
S03,W083,unrelated,control,0.1654914468887871,7,2,902,1,14,0.6559358939826502
S03,W084,related,control,0.8719147743400757,7,99,568,1,12,-0.005512066335988933
S03,W085,unrelated,control,-0.8790583874314196,7,90,520,1,13,0.3252119138233306
S03,W086,related,control,-0.7905740078936522,7,97,656,0,8,-1.328407986973267
S03,W087,unrelated,control,0.5846936512450975,6,29,522,0,12,-0.005512066335988933
S03,W088,related,control,-0.8247875085796271,5,71,585,1,9,-0.9976840068139475
S03,W089,unrelated,control,-1.4798537261722209,8,12,887,1,10,-0.666960026654628
S03,W090,related,control,-0.5298687768050517,7,38,555,1,10,-0.666960026654628
S03,W091,unrelated,control,0.0199958773569514,6,120,655,1,13,0.3252119138233306
S03,W092,related,control,0.8827875457824161,5,52,533,1,16,1.3173838543012892
S03,W093,unrelated,control,-0.3951162220036792,6,67,600,0,11,-0.33623604649530847
S03,W094,related,control,-0.2729766410664055,6,111,646,1,14,0.6559358939826502
S03,W095,unrelated,control,-0.8951685051880719,8,9,895,1,9,-0.9976840068139475
S03,W096,related,control,-0.4092407736087192,8,50,956,1,11,-0.33623604649530847
S03,W097,unrelated,control,-0.0617302306989816,5,43,813,1,13,0.3252119138233306
S03,W098,related,control,-0.148276360874164,7,18,628,1,12,-0.005512066335988933
S03,W099,unrelated,control,-0.5593352549066585,6,119,934,1,11,-0.33623604649530847
S03,W100,related,control,0.942231995983134,6,113,778,1,14,0.6559358939826502
S03,W101,unrelated,control,-0.4764940879555429,6,48,718,1,11,-0.33623604649530847
S03,W102,related,control,0.2909020541309749,6,3,616,1,12,-0.005512066335988933
S03,W103,unrelated,control,-0.5886379098238127,8,63,789,1,9,-0.9976840068139475
S03,W104,related,control,-0.1214698405936154,5,37,653,1,11,-0.33623604649530847
